1;2
0 0 2;0 0 0;1 1 1;1 1 1
-3,02756E-09 -0,3782051 -0,253886;-6,178653E-11 -0,4551282 -0,005181313;-0,002590656 -0,4551282 -0,004487148;255 165 0
-0,007772027 0,448718 -0,01346155;-0,01346155 0,448718 -0,007772031;-0,2333332 0,3910256 -0,1347151;255 165 0
-0,007772027 0,448718 -0,01346155;-0,134715 0,3910256 -0,2333333;-0,2333332 0,3910256 -0,1347151;255 165 0
-0,134715 0,3910256 -0,2333333;-0,2333332 0,3910256 -0,1347151;-0,4083332 0,1538462 -0,2357514;255 165 0
-0,134715 0,3910256 -0,2333333;-0,2357512 0,1538462 -0,4083332;-0,4083332 0,1538462 -0,2357514;255 165 0
-0,2357512 0,1538462 -0,4083332;-0,4083332 0,1538462 -0,2357514;-0,4532049 -0,006410256 -0,2616581;255 165 0
-0,2357512 0,1538462 -0,4083332;-0,261658 -0,006410256 -0,453205;-0,4532049 -0,006410256 -0,2616581;255 165 0
-0,261658 -0,006410256 -0,453205;-0,4532049 -0,006410256 -0,2616581;-0,4307691 -0,1410256 -0,2487048;255 165 0
-0,261658 -0,006410256 -0,453205;-0,2487046 -0,1410256 -0,4307691;-0,4307691 -0,1410256 -0,2487048;255 165 0
-0,2487046 -0,1410256 -0,4307691;-0,4307691 -0,1410256 -0,2487048;-0,2198717 -0,3782051 -0,126943;255 165 0
-0,2487046 -0,1410256 -0,4307691;-0,126943 -0,3782051 -0,2198717;-0,2198717 -0,3782051 -0,126943;255 165 0
-0,126943 -0,3782051 -0,2198717;-0,2198717 -0,3782051 -0,126943;-0,004487148 -0,4551282 -0,002590657;255 165 0
-0,126943 -0,3782051 -0,2198717;-0,002590656 -0,4551282 -0,004487148;-0,004487148 -0,4551282 -0,002590657;255 165 0
-0,01554406 0,448718 0;-0,01346155 0,448718 -0,007772031;-0,2333332 0,3910256 -0,1347151;255 165 0
-0,01554406 0,448718 0;-0,26943 0,3910256 0;-0,2333332 0,3910256 -0,1347151;255 165 0
-0,26943 0,3910256 0;-0,2333332 0,3910256 -0,1347151;-0,4083332 0,1538462 -0,2357514;255 165 0
-0,26943 0,3910256 0;-0,4715025 0,1538462 0;-0,4083332 0,1538462 -0,2357514;255 165 0
-0,4715025 0,1538462 0;-0,4083332 0,1538462 -0,2357514;-0,4532049 -0,006410256 -0,2616581;255 165 0
-0,4715025 0,1538462 0;-0,523316 -0,006410256 0;-0,4532049 -0,006410256 -0,2616581;255 165 0
-0,523316 -0,006410256 0;-0,4532049 -0,006410256 -0,2616581;-0,4307691 -0,1410256 -0,2487048;255 165 0
-0,523316 -0,006410256 0;-0,4974093 -0,1410256 0;-0,4307691 -0,1410256 -0,2487048;255 165 0
-0,4974093 -0,1410256 0;-0,4307691 -0,1410256 -0,2487048;-0,2198717 -0,3782051 -0,126943;255 165 0
-0,4974093 -0,1410256 0;-0,253886 -0,3782051 0;-0,2198717 -0,3782051 -0,126943;255 165 0
-0,253886 -0,3782051 0;-0,2198717 -0,3782051 -0,126943;-0,004487148 -0,4551282 -0,002590657;255 165 0
-0,253886 -0,3782051 0;-0,005181313 -0,4551282 0;-0,004487148 -0,4551282 -0,002590657;255 165 0
